merchant_id,merchant_name,provider,source_type,source_name,source_url,source_date,archived_url_if_applicable,wayback_snapshot_date,evidence_direction,evidence_text,interpretation,reliability_tier,retrieved_at
M0001,American Airlines,Affirm,current_provider_or_merchant_page,www.affirm.com,https://www.affirm.com/shopping/travel,2026-08-07,,,supports_bnpl_present,"Flights, travel, and vacation payment plans - travel financing | Affirm We're glad you're here! Would you like to see what Affirm offers in your region? Go to the page Stay here Skip to main cont","Current page supports that this provider is presently associated with the merchant, but current listing is not treated as adoption date.",Tier 4,2026-08-09T21:28:28+00:00
M0001,American Airlines,Affirm,wayback_cdx_provider_directory,Internet Archive CDX,https://www.affirm.com/shopping/travel,,https://web.archive.org/web/20201129065824/https://www.affirm.com/shopping/travel,2020-11-29,supports_bnpl_present,Provider-specific URL first archived on 2020-11-29: https://www.affirm.com/shopping/travel,Provider-directory/listing URL observed in Wayback. Not used as exact adoption date without operational launch evidence.,Tier 4,2026-08-09T21:28:28+00:00
M0001,American Airlines,Affirm,current_webpage_error,www.aa.com,https://www.aa.com,,,,inconclusive,<HTTPError 403: 'Forbidden'>,Technical error; not interpreted as evidence of BNPL absence.,technical_log,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,current_provider_or_merchant_page,zip.co,https://zip.co/us/shop/flights,,,,supports_bnpl_present,"Buy Now, Pay Later Flights | Zip Skip to main content Customers Business For Business How it works Shop stores Shop categories Insights Help Products Solutions","Current page supports that this provider is presently associated with the merchant, but current listing is not treated as adoption date.",Tier 4,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,current_external_bnpl_page,zip.co,https://zip.co/us/shop/flights,,,,supports_bnpl_present,".S. purchases, and certain merchant, product, goods and service restrictions apply. All loans subject to credit approval. © 2026 'Quadpay', 'Zip', the 'Q Logo' and 'Zip' Logos, and all tag lines used in conjunction therewith including 'Any Store Split in 4' an",Current page mentions a BNPL-like provider outside the five-platform sample; timing still requires review.,Tier 2,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,current_provider_or_merchant_page,zip.co,https://zip.co/us/shop/travel-entertainment,,,,supports_bnpl_present,Buy Now Pay Later for Travel | Zip Skip to main content Customers Business For Business How it works Shop stores Shop categories I,"Current page supports that this provider is presently associated with the merchant, but current listing is not treated as adoption date.",Tier 4,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,current_external_bnpl_page,zip.co,https://zip.co/us/shop/travel-entertainment,,,,supports_bnpl_present,".S. purchases, and certain merchant, product, goods and service restrictions apply. All loans subject to credit approval. © 2026 'Quadpay', 'Zip', the 'Q Logo' and 'Zip' Logos, and all tag lines used in conjunction therewith including 'Any Store Split in 4' an",Current page mentions a BNPL-like provider outside the five-platform sample; timing still requires review.,Tier 2,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,wayback_cdx_provider_directory,Internet Archive CDX,https://zip.co/us/shop/travel-entertainment,,https://web.archive.org/web/20210921222020/https://zip.co/us/shop/travel-entertainment,2021-09-21,supports_bnpl_present,Provider-specific URL first archived on 2021-09-21: https://zip.co/us/shop/travel-entertainment,Provider-directory/listing URL observed in Wayback. Not used as exact adoption date without operational launch evidence.,Tier 4,2026-08-09T21:28:28+00:00
M0001,American Airlines,Zip,current_webpage_error,www.aa.com,https://www.aa.com,,,,inconclusive,<HTTPError 403: 'Forbidden'>,Technical error; not interpreted as evidence of BNPL absence.,technical_log,2026-08-09T21:28:28+00:00
M0002,Advance Auto Parts,Klarna,current_provider_or_merchant_page,www.klarna.com,https://www.klarna.com/us/store/5cfd8562-e9f5-4a57-96cd-6b248858108a/advance-auto-parts/pay-with-klarna/,,,,supports_bnpl_present,Buy now pay later at Advance Auto Parts - Pay in 4 | Klarna For shoppers For business Discover Klarna Shop App Help Show more Sign,"Current page supports that this provider is presently associated with the merchant, but current listing is not treated as adoption date.",Tier 4,2026-08-09T21:28:28+00:00
