CIK,balance_sheet_coverage,coverage_status,exchange,expected_available_quarters,first_available_quarter,gross_profit_coverage,input_public_parent_company,last_available_quarter,merchant_count,missingness_rate,net_income_coverage,number_of_quarters,operating_income_coverage,revenue_coverage,sec_entity_name,ticker
0000006201,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,0.0,American Airlines Group Inc.,FY2026 Q2,1,0.2554347826086957,1.0,46,1.0,0.9782608695652174,American Airlines Group Inc.,AAL
0000016988,1.0,foreign_issuer_partial_history,OTC,29,FY2015 Q4,0.0,CANON INC,FY2022 Q4,1,1.0,0.0,8,0.0,0.0,CANON INC,CAJPY
0000018255,1.0,complete_available_history,NYSE,46,FY2014 Q4,0.9782608695652174,CATO CORP,FY2026 Q1,1,0.03804347826086951,1.0,46,0.8913043478260869,0.9782608695652174,THE CATO CORPORATION,CATO
0000027419,1.0,complete_available_history,NYSE,46,FY2014 Q4,0.7555555555555555,TARGET CORP,FY2026 Q1,1,0.24444444444444446,0.4888888888888889,45,0.8,0.9777777777777777,TARGET CORPORATION,TGT
0000028917,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,"DILLARD'S, INC.",FY2026 Q1,1,0.2554347826086957,1.0,46,0.0,0.9782608695652174,"DILLARD’S, INC.",DDS
0000029534,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,DOLLAR GENERAL CORP,FY2026 Q1,1,0.06521739130434778,0.7391304347826086,46,1.0,1.0,DOLLAR GENERAL CORP,DG
0000039911,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,GAP INC,FY2026 Q1,5,0.005434782608695676,1.0,46,1.0,0.9782608695652174,"GAP, INC",GAP
0000041091,0,xbrl_missing,NYSE,0,,0,GEORGIA POWER CO,,1,1,0,0,0,0,,GPJA
0000042582,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,0.9782608695652174,GOODYEAR TIRE & RUBBER CO /OH/,FY2026 Q2,1,0.21739130434782605,1.0,46,0.15217391304347827,1.0,THE GOODYEAR TIRE & RUBBER COMPANY,GT
0000047217,1.0,complete_available_history,NYSE,46,FY2015 Q1,0.9782608695652174,HP INC,FY2026 Q2,1,0.02717391304347827,0.9130434782608695,46,1.0,1.0,HP INC.,HPQ
0000060667,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,LOWES COMPANIES INC,FY2026 Q1,1,0.05978260869565222,0.9782608695652174,46,0.8043478260869565,0.9782608695652174,"LOWE’S COMPANIES, INC.",LOW
0000086312,1.0,complete_available_history,NYSE,46,FY2015 Q1,0.0,"TRAVELERS COMPANIES, INC.",FY2026 Q2,1,0.5054347826086957,0.9130434782608695,46,0.06521739130434782,1.0,"TRAVELERS COMPANIES, INC.",TRV
0000103379,1.0,complete_available_history,NYSE,49,FY2014 Q4,1.0,V F CORP,FY2026 Q4,2,0.0,1.0,45,1.0,1.0,V. F. CORPORATION,VFC
0000104169,1.0,complete_available_history,Nasdaq,46,FY2015 Q4,0.9782608695652174,Walmart Inc.,FY2027 Q1,2,0.010869565217391353,1.0,46,1.0,0.9782608695652174,WALMART INC.,WMT
0000106640,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,WHIRLPOOL CORP /DE/,FY2026 Q2,1,0.0,1.0,46,1.0,1.0,WHIRLPOOL CORP /DE/,WHR
0000109177,1.0,complete_available_history,NYSE,46,FY2015 Q2,0.9782608695652174,"Spectrum Brands Holdings, Inc.",FY2026 Q3,1,0.03804347826086951,1.0,46,1.0,0.8695652173913043,"Spectrum Brands Holdings, Inc.",SPB
0000110471,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,WOLVERINE WORLD WIDE INC /DE/,FY2026 Q1,1,0.02777777777777779,1.0,45,1.0,0.8888888888888888,"WOLVERINE WORLD WIDE, INC.",WWW
0000313838,1.0,foreign_issuer_partial_history,NYSE,45,FY2014 Q4,0.0,Sony Group Corp,FY2025 Q4,1,1.0,0.0,11,0.0,0.0,Sony Group Corp,SONY
0000320187,1.0,complete_available_history,NYSE,46,FY2015 Q3,1.0,"NIKE, Inc.",FY2026 Q4,2,0.2554347826086957,1.0,46,0.0,0.9782608695652174,"NIKE, Inc.",NKE
0000320193,1.0,complete_available_history,Nasdaq,46,FY2015 Q2,1.0,Apple Inc.,FY2026 Q3,1,0.005434782608695676,1.0,46,1.0,0.9782608695652174,Apple Inc.,AAPL
0000354950,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,"HOME DEPOT, INC.",FY2026 Q1,1,0.005434782608695676,1.0,46,1.0,0.9782608695652174,"HOME DEPOT, INC.",HD
0000701985,1.0,complete_available_history,NYSE,46,FY2014 Q4,1.0,"Bath & Body Works, Inc.",FY2026 Q1,1,0.0,1.0,45,1.0,1.0,"BATH & BODY WORKS, INC.",BBWI
0000719955,1.0,complete_available_history,NYSE,46,FY2014 Q4,0.9761904761904762,WILLIAMS SONOMA INC,FY2026 Q1,1,0.023809523809523836,0.9761904761904762,42,0.9761904761904762,0.9761904761904762,"WILLIAMS-SONOMA, INC.",WSM
0000732717,1.0,complete_available_history,NYSE,46,FY2015 Q1,0.08888888888888889,AT&T INC.,FY2026 Q2,1,0.25555555555555554,0.9555555555555556,45,0.9777777777777777,0.9555555555555556,AT&T INC.,T
0000764478,1.0,complete_available_history,NYSE,46,FY2015 Q4,0.9523809523809523,BEST BUY CO INC,FY2027 Q1,1,0.07738095238095233,0.9523809523809523,42,0.9523809523809523,0.8333333333333334,"BEST BUY CO., INC.",BBY
0000769397,1.0,complete_available_history,Nasdaq,46,FY2015 Q4,1.0,"Autodesk, Inc.",FY2027 Q1,1,0.0,1.0,46,1.0,1.0,"AUTODESK, INC.",ADSK
0000789019,1.0,complete_available_history,Nasdaq,46,FY2015 Q3,1.0,MICROSOFT CORP,FY2026 Q4,1,0.005434782608695676,1.0,46,1.0,0.9782608695652174,MICROSOFT CORPORATION,MSFT
0000793952,1.0,complete_available_history,NYSE,46,FY2015 Q1,0.9347826086956522,"HARLEY-DAVIDSON, INC.",FY2026 Q2,1,0.02717391304347827,1.0,46,1.0,0.9565217391304348,"Harley-Davidson, Inc.",HOG
0000794367,1.0,complete_available_history,NYSE,46,FY2014 Q4,0.9782608695652174,"Macy's, Inc.",FY2026 Q1,2,0.010869565217391353,1.0,46,1.0,0.9782608695652174,"Macy's, Inc.",M
0000799288,1.0,complete_available_history,Nasdaq,46,FY2014 Q4,1.0,"LANDS' END, INC.",FY2026 Q1,1,0.005555555555555536,1.0,45,1.0,0.9777777777777777,"LANDS' END, INC.",LE
0000814453,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,NEWELL BRANDS INC.,FY2026 Q2,1,0.0,1.0,46,1.0,1.0,NEWELL BRANDS INC.,NWL
0000823768,1.0,complete_available_history,NYSE,46,FY2015 Q1,0.9782608695652174,WASTE MANAGEMENT INC,FY2026 Q2,1,0.04347826086956519,0.8695652173913043,46,1.0,0.9782608695652174,WASTE MANAGEMENT INC,WM
