CIK,bnpl_provider_if_any,candidate_company,evidence_result,evidence_summary,reliability,retrieved_at,search_query,source_date,source_name,source_type,source_url,ticker
0001318605,,"Tesla, Inc.",no_relevant_evidence,No exact CIK or canonical-name match in current BNPL merchant dataset.,HIGH,2026-08-10T01:27:51.402911+00:00,current BNPL merchant dataset exact CIK/canonical-name check,,BNPL merchant and ownership files,internal_dataset,/Users/augustliu/Desktop/Research_On_Merchant_Side_Effect_Of_BNPL/data/merchant_ownership/merchant_ownership_rows.json,TSLA
0001318605,,"Tesla, Inc.",no_relevant_evidence,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",MEDIUM,2026-08-10T01:27:51.402911+00:00,"""Tesla, Inc."" BNPL Affirm Klarna Afterpay Zip Sezzle ""buy now pay later""",,Bing Search,web_search,https://www.bing.com/search?q=%22Tesla%2C+Inc.%22+BNPL+Affirm+Klarna+Afterpay+Zip+Sezzle+%22buy+now+pay+later%22,TSLA
0001571996,,Dell Technologies Inc.,no_relevant_evidence,No exact CIK or canonical-name match in current BNPL merchant dataset.,HIGH,2026-08-10T01:27:51.402911+00:00,current BNPL merchant dataset exact CIK/canonical-name check,,BNPL merchant and ownership files,internal_dataset,/Users/augustliu/Desktop/Research_On_Merchant_Side_Effect_Of_BNPL/data/merchant_ownership/merchant_ownership_rows.json,DELL
0001571996,,Dell Technologies Inc.,no_relevant_evidence,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/eT/cir3,cc,nc/ZNlEaxLrmuWEflDP-KwkyUROBrA.css?or=w",MEDIUM,2026-08-10T01:27:51.402911+00:00,"""Dell Technologies Inc."" BNPL Affirm Klarna Afterpay Zip Sezzle ""buy now pay later""",,Bing Search,web_search,https://www.bing.com/search?q=%22Dell+Technologies+Inc.%22+BNPL+Affirm+Klarna+Afterpay+Zip+Sezzle+%22buy+now+pay+later%22,DELL
0001094517,,TOYOTA MOTOR CORP/,no_relevant_evidence,No exact CIK or canonical-name match in current BNPL merchant dataset.,HIGH,2026-08-10T01:27:51.402911+00:00,current BNPL merchant dataset exact CIK/canonical-name check,,BNPL merchant and ownership files,internal_dataset,/Users/augustliu/Desktop/Research_On_Merchant_Side_Effect_Of_BNPL/data/merchant_ownership/merchant_ownership_rows.json,TM
0001094517,,TOYOTA MOTOR CORP/,no_relevant_evidence,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",MEDIUM,2026-08-10T01:27:51.402911+00:00,"""TOYOTA MOTOR CORP/"" BNPL Affirm Klarna Afterpay Zip Sezzle ""buy now pay later""",,Bing Search,web_search,https://www.bing.com/search?q=%22TOYOTA+MOTOR+CORP%2F%22+BNPL+Affirm+Klarna+Afterpay+Zip+Sezzle+%22buy+now+pay+later%22,TM
0000051143,,INTERNATIONAL BUSINESS MACHINES CORP,no_relevant_evidence,No exact CIK or canonical-name match in current BNPL merchant dataset.,HIGH,2026-08-10T01:27:51.402911+00:00,current BNPL merchant dataset exact CIK/canonical-name check,,BNPL merchant and ownership files,internal_dataset,/Users/augustliu/Desktop/Research_On_Merchant_Side_Effect_Of_BNPL/data/merchant_ownership/merchant_ownership_rows.json,IBM
0000051143,,INTERNATIONAL BUSINESS MACHINES CORP,no_relevant_evidence,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",MEDIUM,2026-08-10T01:27:51.402911+00:00,"""INTERNATIONAL BUSINESS MACHINES CORP"" BNPL Affirm Klarna Afterpay Zip Sezzle ""buy now pay later""",,Bing Search,web_search,https://www.bing.com/search?q=%22INTERNATIONAL+BUSINESS+MACHINES+CORP%22+BNPL+Affirm+Klarna+Afterpay+Zip+Sezzle+%22buy+now+pay+later%22,IBM
0001137789,,Seagate Technology Holdings plc,no_relevant_evidence,No exact CIK or canonical-name match in current BNPL merchant dataset.,HIGH,2026-08-10T01:27:51.402911+00:00,current BNPL merchant dataset exact CIK/canonical-name check,,BNPL merchant and ownership files,internal_dataset,/Users/augustliu/Desktop/Research_On_Merchant_Side_Effect_Of_BNPL/data/merchant_ownership/merchant_ownership_rows.json,STX
0001137789,,Seagate Technology Holdings plc,no_relevant_evidence,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gS/cc,nc/_huiPba-9XiYDf9Vd8j9EoLtXL4.css?or=w; https://r.bing.com/rs/4f/fn/cir3,cc,nc/qYkYtW4ptUTHO5TVR_F3o3iRdIs.css?or=w",MEDIUM,2026-08-10T01:27:51.402911+00:00,"""Seagate Technology Holdings plc"" BNPL Affirm Klarna Afterpay Zip Sezzle ""buy now pay later""",,Bing Search,web_search,https://www.bing.com/search?q=%22Seagate+Technology+Holdings+plc%22+BNPL+Affirm+Klarna+Afterpay+Zip+Sezzle+%22buy+now+pay+later%22,STX
