CIK,average_gross_margin_pre,average_net_margin_pre,average_operating_margin_pre,average_revenue_growth_pre,baseline_assets,baseline_market_cap_if_available,baseline_revenue,bnpl_control_status,bnpl_verification_summary,broad_bnpl_category,candidate_id,candidate_screening_status,candidate_source,candidate_source_url,cash_to_assets_pre,category_confidence,company_name,companyfacts_status,detailed_bnpl_category,equity_to_assets_pre,exchange,expanded_control_sample,gross_margin_pretrend,inventory_to_assets_pre,leverage_pre,limited_history_pre,log_assets_2019,log_revenue_2019,manual_review_required,match_distance,match_quality,match_rank,matched_treated_CIK,matched_treated_company,operating_margin_pretrend,pre_observation_count,preferred_control_sample,revenue_cagr_pre,revenue_pretrend,sec_universe_rank,sga_to_revenue_pre,sic_code,sic_description,size_bucket,size_bucket_basis,strict_control_sample,ticker
0001318605,0.17742860005048422,-0.09670158681096057,-0.06720816969297147,0.6110142830294599,34309000000.0,,24578000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/f3/cir3,cc,nc/XKkf7PevzOVtzidRm3f9xWob0cM.css?or=w",Automotive,CTRL_CAND_0001,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.1826925879506835,MEDIUM,"Tesla, Inc.",cache,Automotive,0.19289399282986971,Nasdaq,True,-0.004697968156438895,0.10352968608819843,0.7636188755137137,False,24.25867354737045,23.925117570808816,True,3.4,REVIEW,1,0000041091,GEORGIA POWER CO,0.010392555431334018,20,True,0.5699271296516801,0.11956592668507049,4,0.13766892252829635,3711,Motor Vehicles & Passenger Car Bodies,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,TSLA
0001571996,0.24593106100313103,-0.03238875258840724,-0.030865197229964985,0.2294103242385167,111820000000.0,,90621000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/ez/cir3,cc,nc/ITQ79_h8jq-eoIeRkdWbxDW7IbQ.css?or=w",Electronics & Technology,CTRL_CAND_0002,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.0865319263101413,MEDIUM,Dell Technologies Inc.,cache,Computers & Tablets,-0.05155607225898766,NYSE,True,0.008696061955291262,0.03263280271865498,0.9977284922196387,False,25.44015627254491,25.229951811216107,False,0.5916675012610482,HIGH,1,0000320193,Apple Inc.,0.00477745715719032,12,True,0.2124841346757762,0.05384186059932901,27,0.2304577716381651,3571,Electronic Computers,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,DELL
0001094517,,,,,51936949000000.0,,,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",Automotive,CTRL_CAND_0003,excluded_insufficient_pre_financials,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.06882776267816579,MEDIUM,TOYOTA MOTOR CORP/,cache,Automotive,0.3725315478196457,NYSE,False,,0.05114655464263024,0.6040350772241165,True,31.581051579583008,,True,,,,,,,0,False,,,35,,3711,Motor Vehicles & Passenger Car Bodies,Unclassified,FY2019 revenue proxy; historical market cap not constructed,False,TM
0000051143,0.46355878069163087,0.10278927547551253,,-0.0115265792436203,152186000000.0,,77147000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/ez/cir3,cc,nc/ITQ79_h8jq-eoIeRkdWbxDW7IbQ.css?or=w",Electronics & Technology,CTRL_CAND_0004,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.053697449174037036,MEDIUM,INTERNATIONAL BUSINESS MACHINES CORP,cache,Computers & Tablets,0.13694426556976333,NYSE,True,-0.0010583653831341792,0.010638297872340425,0.8621160947787576,False,25.748369293911914,25.068978529711128,True,1.6524578611393912,LOW,1,0000313838,Sony Group Corp,,20,True,-0.014356700260431454,-0.0013438461940305862,40,0.2546963035819516,3570,Computer & office Equipment,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,IBM
0001137789,0.28906473053677,0.12111916914831435,0.12313447947255605,-0.02481159575208114,8885000000.0,,10390000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/eJ/cir3,cc,nc/-ooVmxB9OlPzBcewmec-cfwYTQs.css?or=w",Electronics & Technology,CTRL_CAND_0005,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.24985931344963422,MEDIUM,Seagate Technology Holdings plc,cache,Computers & Tablets,0.2433314575126618,Nasdaq,True,0.0018266410573776534,0.10917276308384918,0.7566685424873382,False,22.907630298553027,23.06410964205755,False,0.7560587716033296,HIGH,1,0000047217,HP INC,0.002156803543942088,18,True,0.010774967480839726,-0.014530271855250946,44,0.05493053202304304,3572,Computer Storage Devices,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,STX
0002023554,,,,,,,,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gS/cc,nc/_huiPba-9XiYDf9Vd8j9EoLtXL4.css?or=w; https://r.bing.com/rs/4f/fd/cir3,cc,nc/WTKNvHzqziTEsCD58MJtjs7bzWc.css?or=w",Electronics & Technology,CTRL_CAND_0006,excluded_insufficient_pre_financials,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,,MEDIUM,Sandisk Corp,cache,Computers & Tablets,,Nasdaq,False,,,,,,,True,,,,,,,,False,,,49,,3572,Computer Storage Devices,,,False,SNDK
0000109198,,0.07414973300804492,0.12278545315360782,0.0846123635563627,24145003000.0,,,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",Apparel & Personal Care,CTRL_CAND_0007,excluded_insufficient_pre_financials,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.13322640713691358,HIGH,TJX COMPANIES INC /DE/,cache,Clothing & Accessories,0.24635374864107493,NYSE,False,,0.20180540047975973,,False,23.907343280521236,,True,,,,,,-0.0007706509744817843,12,False,0.27729513072844836,0.02669472175944638,54,0.2554689897404875,5651,Retail-Family Clothing Stores,Unclassified,FY2019 revenue proxy; historical market cap not constructed,False,TJX
0000804328,0.574239861093762,0.029615854396303598,0.13744781922831276,0.013902476772965152,32957000000.0,,24273000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/h6/cc,nc/U6HOq0RcF4_oC2_ItiNCBhNzO24.css?or=w; https://r.bing.com/rs/4f/fG/cir3,cc,nc/5gFAL7Id0yWkqqPO1crOKHL1NzM.css?or=w",Electronics & Technology,CTRL_CAND_0008,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.35922565767515247,LOW,QUALCOMM INC/DE,cache,Phones & Smartwatches,0.1489516642898322,Nasdaq,True,0.0001404812817161493,0.04247959462329702,0.8510483357101678,False,24.21846951842769,23.912630458440223,True,3.4,REVIEW,1,0001484778,ThredUp Inc.,-0.0033692086722131773,19,True,0.07490590976448042,-0.0022652331716659247,66,0.11312341260678827,3663,Radio & Tv Broadcasting & Communications Equipment,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,QCOM
0000064803,0.22933848335611354,0.018419801322861636,0.03903956398928406,0.1288271581590361,222449000000.0,,189082000000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/fd/cir3,cc,nc/WTKNvHzqziTEsCD58MJtjs7bzWc.css?or=w",Apparel & Personal Care,CTRL_CAND_0009,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.02554742884885974,HIGH,CVS HEALTH Corp,cache,Health & Beauty,0.287095019532567,NYSE,True,0.009997959441760613,0.07874164415214274,0.7115293842633592,False,26.127963698796133,25.965446620348825,False,0.3409372064385198,HIGH,1,0000104169,Walmart Inc.,-0.0016783805564557224,19,True,0.05386283892744603,0.02672592683196427,81,0.0,5912,Retail-Drug Stores and Proprietary Stores,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,True,CVS
0000829224,0.6234322176558945,0.1518179686461156,0.16622907517239385,0.0737873009847351,19219600000.0,,26508600000.0,NO_BNPL_EVIDENCE,"Search completed; no clear BNPL exposure signal detected in result text. Top links: https://r.bing.com/rs/4f/gg/cc,nc/-G_YKFrphkyl83D0HTgpMefXo7c.css?or=w; https://r.bing.com/rs/4f/gM/cc,nc/rWljTRKHPYQiu_szhv9ApXQ-KpI.css?or=w; https://r.bing.com/rs/4f/ez/cir3,cc,nc/ITQ79_h8jq-eoIeRkdWbxDW7IbQ.css?or=w",Entertainment,CTRL_CAND_0010,preferred_control,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,0.13978438677183708,LOW,STARBUCKS CORP,cache,Gaming & Entertainment,-0.32426273179462634,Nasdaq,True,0.005504138634639839,0.07957501716997233,1.3242002955316448,False,23.679196428617466,24.000735045592556,True,1.554296048233799,LOW,1,0001018724,AMAZON COM INC,-0.0026961641799113883,18,True,0.16563309213883048,0.021339591956316545,95,0.0,5810,Retail-Eating & Drinking Places,Large-scale revenue proxy,FY2019 revenue proxy; historical market cap not constructed,False,SBUX
