CIK,broad_bnpl_category,candidate_id,candidate_screening_status,candidate_source,candidate_source_url,category_confidence,company_name,detailed_bnpl_category,exchange,manual_review_required,sec_universe_rank,sic_code,sic_description,ticker
0001318605,Automotive,CTRL_CAND_0001,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Tesla, Inc.",Automotive,Nasdaq,False,4,3711,Motor Vehicles & Passenger Car Bodies,TSLA
0001571996,Electronics & Technology,CTRL_CAND_0002,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Dell Technologies Inc.,Computers & Tablets,NYSE,False,27,3571,Electronic Computers,DELL
0001094517,Automotive,CTRL_CAND_0003,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,TOYOTA MOTOR CORP/,Automotive,NYSE,False,35,3711,Motor Vehicles & Passenger Car Bodies,TM
0000051143,Electronics & Technology,CTRL_CAND_0004,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,INTERNATIONAL BUSINESS MACHINES CORP,Computers & Tablets,NYSE,False,40,3570,Computer & office Equipment,IBM
0001137789,Electronics & Technology,CTRL_CAND_0005,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Seagate Technology Holdings plc,Computers & Tablets,Nasdaq,False,44,3572,Computer Storage Devices,STX
0002023554,Electronics & Technology,CTRL_CAND_0006,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Sandisk Corp,Computers & Tablets,Nasdaq,False,49,3572,Computer Storage Devices,SNDK
0000109198,Apparel & Personal Care,CTRL_CAND_0007,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,TJX COMPANIES INC /DE/,Clothing & Accessories,NYSE,False,54,5651,Retail-Family Clothing Stores,TJX
0000804328,Electronics & Technology,CTRL_CAND_0008,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,QUALCOMM INC/DE,Phones & Smartwatches,Nasdaq,True,66,3663,Radio & Tv Broadcasting & Communications Equipment,QCOM
0000064803,Apparel & Personal Care,CTRL_CAND_0009,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,CVS HEALTH Corp,Health & Beauty,NYSE,False,81,5912,Retail-Drug Stores and Proprietary Stores,CVS
0000829224,Entertainment,CTRL_CAND_0010,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,STARBUCKS CORP,Gaming & Entertainment,Nasdaq,True,95,5810,Retail-Eating & Drinking Places,SBUX
