CIK,average_gross_margin_pre,average_net_margin_pre,average_operating_margin_pre,average_revenue_growth_pre,baseline_assets,baseline_market_cap_if_available,baseline_revenue,bnpl_control_status,broad_bnpl_category,cash_to_assets_pre,category_confidence,company_name,control_id,detailed_bnpl_category,exchange,expanded_control_sample,gross_margin_pretrend,leverage_pre,log_assets_2019,log_revenue_2019,manual_review_required,match_distance,match_quality,match_rank,matched_treated_CIK,matched_treated_company,operating_margin_pretrend,preferred_control_sample,revenue_pretrend,sic_code,sic_description,size_bucket,ticker
0001318605,0.17742860005048422,-0.09670158681096057,-0.06720816969297147,0.6110142830294599,34309000000.0,,24578000000.0,NO_BNPL_EVIDENCE,Automotive,0.1826925879506835,MEDIUM,"Tesla, Inc.",CONTROL_0001,Automotive,Nasdaq,True,-0.004697968156438895,0.7636188755137137,24.25867354737045,23.925117570808816,True,3.4,REVIEW,1,0000041091,GEORGIA POWER CO,0.010392555431334018,True,0.11956592668507049,3711,Motor Vehicles & Passenger Car Bodies,Large-scale revenue proxy,TSLA
0001571996,0.24593106100313103,-0.03238875258840724,-0.030865197229964985,0.2294103242385167,111820000000.0,,90621000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.0865319263101413,MEDIUM,Dell Technologies Inc.,CONTROL_0002,Computers & Tablets,NYSE,True,0.008696061955291262,0.9977284922196387,25.44015627254491,25.229951811216107,False,0.5916675012610482,HIGH,1,0000320193,Apple Inc.,0.00477745715719032,True,0.05384186059932901,3571,Electronic Computers,Large-scale revenue proxy,DELL
0000051143,0.46355878069163087,0.10278927547551253,,-0.0115265792436203,152186000000.0,,77147000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.053697449174037036,MEDIUM,INTERNATIONAL BUSINESS MACHINES CORP,CONTROL_0003,Computers & Tablets,NYSE,True,-0.0010583653831341792,0.8621160947787576,25.748369293911914,25.068978529711128,True,1.6524578611393912,LOW,1,0000313838,Sony Group Corp,,True,-0.0013438461940305862,3570,Computer & office Equipment,Large-scale revenue proxy,IBM
0001137789,0.28906473053677,0.12111916914831435,0.12313447947255605,-0.02481159575208114,8885000000.0,,10390000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.24985931344963422,MEDIUM,Seagate Technology Holdings plc,CONTROL_0004,Computers & Tablets,Nasdaq,True,0.0018266410573776534,0.7566685424873382,22.907630298553027,23.06410964205755,False,0.7560587716033296,HIGH,1,0000047217,HP INC,0.002156803543942088,True,-0.014530271855250946,3572,Computer Storage Devices,Large-scale revenue proxy,STX
0000804328,0.574239861093762,0.029615854396303598,0.13744781922831276,0.013902476772965152,32957000000.0,,24273000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.35922565767515247,LOW,QUALCOMM INC/DE,CONTROL_0005,Phones & Smartwatches,Nasdaq,True,0.0001404812817161493,0.8510483357101678,24.21846951842769,23.912630458440223,True,3.4,REVIEW,1,0001484778,ThredUp Inc.,-0.0033692086722131773,True,-0.0022652331716659247,3663,Radio & Tv Broadcasting & Communications Equipment,Large-scale revenue proxy,QCOM
0000064803,0.22933848335611354,0.018419801322861636,0.03903956398928406,0.1288271581590361,222449000000.0,,189082000000.0,NO_BNPL_EVIDENCE,Apparel & Personal Care,0.02554742884885974,HIGH,CVS HEALTH Corp,CONTROL_0006,Health & Beauty,NYSE,True,0.009997959441760613,0.7115293842633592,26.127963698796133,25.965446620348825,False,0.3409372064385198,HIGH,1,0000104169,Walmart Inc.,-0.0016783805564557224,True,0.02672592683196427,5912,Retail-Drug Stores and Proprietary Stores,Large-scale revenue proxy,CVS
0000829224,0.6234322176558945,0.1518179686461156,0.16622907517239385,0.0737873009847351,19219600000.0,,26508600000.0,NO_BNPL_EVIDENCE,Entertainment,0.13978438677183708,LOW,STARBUCKS CORP,CONTROL_0007,Gaming & Entertainment,Nasdaq,True,0.005504138634639839,1.3242002955316448,23.679196428617466,24.000735045592556,True,1.554296048233799,LOW,1,0001018724,AMAZON COM INC,-0.0026961641799113883,True,0.021339591956316545,5810,Retail-Eating & Drinking Places,Large-scale revenue proxy,SBUX
0001262039,0.7523392449350949,0.11657671797213709,0.11787336673277148,0.19119417812882364,3885500000.0,,2156200000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.3146313215802342,MEDIUM,"Fortinet, Inc.",CONTROL_0008,Computers & Tablets,Nasdaq,True,0.0029697220233923854,0.6597863852785999,22.08051751261357,21.491613250069292,True,3.4,REVIEW,1,0001504776,Warby Parker Inc.,0.0103063687954197,True,0.048008957898713116,3577,"Computer Peripheral Equipment, NEC",Mid-scale revenue proxy,FTNT
0000865752,0.6125040803353876,,0.3417009423762525,0.1129650814529225,5150352000.0,,4200819000.0,NO_BNPL_EVIDENCE,Automotive,0.15493251723377355,MEDIUM,Monster Beverage Corp,CONTROL_0009,Automotive,Nasdaq,True,-0.0006949671792023717,,22.3623308988009,22.158545343225704,True,0.9441407052747458,LOW,1,0001018840,ABERCROMBIE & FITCH CO /DE/,0.000631917766660622,True,0.027111449132871827,2086,Bottled & Canned Soft Drinks & Carbonated Waters,Mid-scale revenue proxy,MNST
0001690820,0.10566968158788964,-0.034320960249981776,,1.172147893836732,2057748000.0,,2836309000.0,NO_BNPL_EVIDENCE,Automotive,0.03694135530686945,HIGH,CARVANA CO.,CONTROL_0010,Automotive,NYSE,True,0.006346174087062356,0.9067237582055723,21.444878017881187,21.765769395957435,True,3.4,REVIEW,1,0001560968,Samsonite International SA/ADR,,True,0.21220670076820325,5500,Retail-Auto Dealers & Gasoline Stations,Mid-scale revenue proxy,CVNA
0000089800,0.44366288720652713,0.09658968482020495,0.15733724629303103,0.18708665093095392,20496200000.0,,13786371000.0,NO_BNPL_EVIDENCE,Home & Appliances,0.007894146231984466,HIGH,SHERWIN WILLIAMS CO,CONTROL_0011,Home Improvement,NYSE,True,-0.004291759852515068,,23.743505340054742,23.346946332407118,False,0.4345496280939193,HIGH,1,0000060667,LOWES COMPANIES INC,-0.0006215992773191395,True,0.039052664420654644,5200,"Retail-Building Materials, Hardware, Garden Supply",Large-scale revenue proxy,SHW
