CIK,balance_sheet_coverage,coverage_status,exchange,expected_available_quarters,first_available_quarter,gross_profit_coverage,input_public_parent_company,last_available_quarter,merchant_count,missingness_rate,net_income_coverage,number_of_quarters,operating_income_coverage,revenue_coverage,sec_entity_name,ticker
0001318605,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,"Tesla, Inc.",FY2026 Q2,0,0.0,1.0,46,1.0,1.0,"Tesla, Inc.",TSLA
0001571996,1.0,post_ipo_partial_history,NYSE,40,FY2017 Q1,1.0,Dell Technologies Inc.,FY2026 Q4,0,0.0,1.0,38,1.0,1.0,Dell Technologies Inc.,DELL
0000051143,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,INTERNATIONAL BUSINESS MACHINES CORP,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM
0001137789,1.0,complete_available_history,Nasdaq,47,FY2015 Q2,1.0,Seagate Technology Holdings plc,FY2026 Q4,0,0.0,1.0,46,1.0,1.0,Seagate Technology Holdings plc,STX
0000804328,1.0,complete_available_history,Nasdaq,46,FY2015 Q2,1.0,QUALCOMM INC/DE,FY2026 Q3,0,0.0,1.0,46,1.0,1.0,QUALCOMM INC/DE,QCOM
0000064803,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,CVS HEALTH Corp,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,CVS HEALTH CORPORATION,CVS
0000829224,1.0,complete_available_history,Nasdaq,46,FY2015 Q2,1.0,STARBUCKS CORP,FY2026 Q3,0,0.0,1.0,46,1.0,1.0,Starbucks Corporation,SBUX
0001262039,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,"Fortinet, Inc.",FY2026 Q2,0,0.0,1.0,46,1.0,1.0,"FORTINET, INC.",FTNT
0000865752,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,Monster Beverage Corp,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,Monster Beverage Corp,MNST
0001690820,1.0,post_ipo_partial_history,NYSE,37,FY2017 Q2,1.0,CARVANA CO.,FY2026 Q2,0,0.0,1.0,37,1.0,1.0,CARVANA CO.,CVNA
0000089800,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,SHERWIN WILLIAMS CO,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,THE SHERWIN-WILLIAMS COMPANY,SHW
0000723254,1.0,complete_available_history,Nasdaq,45,FY2015 Q3,1.0,CINTAS CORP,FY2026 Q3,0,0.0,1.0,45,1.0,1.0,Cintas Corporation,CTAS
0000745732,1.0,complete_available_history,Nasdaq,45,FY2015 Q1,1.0,"ROSS STORES, INC.",FY2026 Q1,0,0.0,1.0,45,1.0,1.0,"Ross Stores, Inc.",ROST
0001467858,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,General Motors Co,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,GENERAL MOTORS COMPANY,GM
0000898173,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,O REILLY AUTOMOTIVE INC,FY2026 Q2,0,0.0,1.0,45,1.0,1.0,O Reilly Automotive Inc,ORLY
0000068505,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,"Motorola Solutions, Inc.",FY2026 Q2,0,0.0,1.0,46,1.0,1.0,"MOTOROLA SOLUTIONS, INC.",MSI
0001585689,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,Hilton Worldwide Holdings Inc.,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,Hilton Worldwide Holdings Inc.,HLT
0000075362,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,PACCAR INC,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,PACCAR Inc,PCAR
0001645590,1.0,complete_available_history,NYSE,43,FY2015 Q4,1.0,Hewlett Packard Enterprise Co,FY2026 Q2,0,0.0,1.0,43,1.0,1.0,HEWLETT PACKARD ENTERPRISE COMPANY,HPE
0000037996,1.0,complete_available_history,NYSE,45,FY2015 Q1,1.0,FORD MOTOR CO,FY2026 Q1,0,0.0,1.0,45,1.0,1.0,Ford Motor Co,F
0000815556,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,FASTENAL CO,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,FASTENAL CO,FAST
0000936395,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,CIENA CORP,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,Ciena Corp,CIEN
0001058090,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,CHIPOTLE MEXICAN GRILL INC,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,"CHIPOTLE MEXICAN GRILL, INC.",CMG
0001041061,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,YUM BRANDS INC,FY2026 Q2,0,0.0,1.0,45,1.0,1.0,"YUM! BRANDS, INC.",YUM
0000100517,1.0,complete_available_history,Nasdaq,46,FY2015 Q1,1.0,"United Airlines Holdings, Inc.",FY2026 Q2,0,0.0,1.0,46,1.0,1.0,"United Airlines Holdings, Inc.",UAL
0000815097,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,Carnival Corp Ltd.,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,Carnival Corporation Ltd.,CCL
0001002047,1.0,complete_available_history,Nasdaq,46,FY2015 Q3,1.0,"NetApp, Inc.",FY2026 Q4,0,0.0,1.0,44,1.0,1.0,"NetApp, Inc.",NTAP
0001511737,1.0,complete_available_history,NYSE,45,FY2015 Q3,1.0,Ubiquiti Inc.,FY2026 Q3,0,0.0,1.0,43,1.0,1.0,UBIQUITI INC.,UI
0000726958,1.0,complete_available_history,Nasdaq,46,FY2015 Q3,1.0,CASEYS GENERAL STORES INC,FY2026 Q4,0,0.0,1.0,46,1.0,1.0,"CASEY'S GENERAL STORES, INC.",CASY
0000935703,1.0,complete_available_history,Nasdaq,45,FY2015 Q1,1.0,"DOLLAR TREE, INC.",FY2026 Q1,0,0.0,1.0,45,1.0,1.0,"DOLLAR TREE, INC.",DLTR
0000940944,1.0,complete_available_history,NYSE,46,FY2015 Q3,1.0,DARDEN RESTAURANTS INC,FY2026 Q4,0,0.0,1.0,46,1.0,1.0,"DARDEN RESTAURANTS, INC.",DRI
0000092380,1.0,complete_available_history,NYSE,46,FY2015 Q1,1.0,SOUTHWEST AIRLINES CO,FY2026 Q2,0,0.0,1.0,46,1.0,1.0,SOUTHWEST AIRLINES CO.,LUV
