CIK,broad_bnpl_category,category_confidence,classification_basis,company_name,detailed_bnpl_category,sample_group,secondary_categories,sic_code,sic_description,ticker
0000006201,Entertainment,LOW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,American Airlines Group Inc.,Gaming & Entertainment,treated,Flights; Travel & Entertainment; Travel & Events,4512,"Air Transportation, Scheduled",AAL
0000016988,Home & Appliances,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,CANON INC,Home & Appliances,treated,Computers & Tablets; Electronics & Appliances; Gaming & Entertainment; Phones & Smartwatches; Photography; TV & Audio,3861,Photographic Equipment & Supplies,CAJPY
0000018255,Apparel & Personal Care,HIGH,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,CATO CORP,Clothing & Accessories,treated,Clothing; Clothing & Accessories; Jewelry; Shoes,5621,Retail-Women's Clothing Stores,CATO
0000027419,Apparel & Personal Care,LOW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,TARGET CORP,Clothing & Accessories,treated,"Apparel; Books, Movies & Music; Education; Electronics; Electronics & Appliances; Food & Beverage; Home & Furniture; Jewelry & Accessories; Kids & Babies; Kids & Family; Pets; Phones; Shoes; Sports & Outdoors; Toys & Games; Toys & Hobbies",5331,Retail-Variety Stores,TGT
0000028917,Apparel & Personal Care,LOW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,"DILLARD'S, INC.",Clothing & Accessories,treated,Clothing & Accessories; Electronics & Devices; Fashion; Health & Beauty; Home & Garden; Kids & Baby; Men's fashion; Travel & Entertainment,5311,Retail-Department Stores,DDS
0000029534,Apparel & Personal Care,LOW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,DOLLAR GENERAL CORP,Clothing & Accessories,treated,"Books, Movies & Music; Kids & Family; Toys & Hobbies",5331,Retail-Variety Stores,DG
0000039911,Apparel & Personal Care,HIGH,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,GAP INC,Clothing & Accessories,treated,Activewear; Apparel; Clothing; Clothing & Accessories; Fashion; Health & Beauty; Jewelry; Kids & Baby; Men's fashion; Shoes; Swimwear,5651,Retail-Family Clothing Stores,GAP
0000041091,,REVIEW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,GEORGIA POWER CO,,treated,Bills,4911,Electric Services,GPJA
0000042582,Automotive,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,GOODYEAR TIRE & RUBBER CO /OH/,Automotive,treated,Auto,3011,Tires & Inner Tubes,GT
0000047217,Electronics & Technology,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,HP INC,Computers & Tablets,treated,Computers & Tablets; Gaming & Entertainment; Phones & Smartwatches; Photography; TV & Audio; Toys & Games,3570,Computer & office Equipment,HPQ
0000060667,Home & Appliances,HIGH,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,LOWES COMPANIES INC,Home Improvement,treated,Bed & Bath; Garden & Patio; Home & Appliances; Home & Furniture; Home Appliances; Home Improvement; Kitchen Appliances; Outdoor & Seasonal,5211,Retail-Lumber & Other Building Materials Dealers,LOW
0000086312,Entertainment,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,"TRAVELERS COMPANIES, INC.",Gaming & Entertainment,treated,Bills,6331,"Fire, Marine & Casualty Insurance",TRV
0000103379,Apparel & Personal Care,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,V F CORP,Clothing & Accessories,treated,Clothing; Outdoor; Shoes; Sporting Goods,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",VFC
0000104169,Apparel & Personal Care,LOW,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,Walmart Inc.,Clothing & Accessories,treated,"Bills; Books, Movies & Music; Electronics & Appliances; Food & Beverage; Garden & Patio; Home & Appliances; Home & Furniture; Home Appliances; Home Improvement; Kids & Family; Kitchen Appliances; Toys & Hobbies",5331,Retail-Variety Stores,WMT
0000106640,Home & Appliances,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,WHIRLPOOL CORP /DE/,Home & Appliances,treated,Garden & Patio; Home & Appliances; Home Appliances; Home Improvement; Kitchen Appliances,3630,Household Appliances,WHR
0000109177,Apparel & Personal Care,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,"Spectrum Brands Holdings, Inc.",Health & Beauty,treated,Bills; Health & Beauty,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",SPB
0000110471,Apparel & Personal Care,MEDIUM,SEC SIC plus keyword/category mapping; unclear cases flagged REVIEW.,WOLVERINE WORLD WIDE INC /DE/,Clothing & Accessories,treated,Clothing & Accessories,3140,"Footwear, (No Rubber)",WWW
