control_CIK,control_broad_category,control_company,control_sic,control_size_bucket,distance_assets,distance_gross_margin,distance_leverage,distance_market_cap_if_available,distance_operating_margin,distance_pretrend,distance_revenue,distance_revenue_growth,match_quality,match_rank,notes,overall_match_distance,replacement_used,treated_CIK,treated_broad_category,treated_company,treated_sic,treated_size_bucket
0000100517,Entertainment,"United Airlines Holdings, Inc.",4512,Large-scale revenue proxy,0.06786650891270818,,,,0.0029186791620658403,0.04489633428974113,0.031089522340775666,0.00474407468744395,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.035648015844496235,False,0000006201,Entertainment,American Airlines Group Inc.,4512,Large-scale revenue proxy
0001467858,Automotive,General Motors Co,3711,Large-scale revenue proxy,1.571016398263947,,0.9697615318844459,,,,,,LOW,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,1.9660604642597503,False,0000016988,Home & Appliances,CANON INC,3861,Unclassified
0000895447,Apparel & Personal Care,SHOE STATION GROUP INC,5661,Small-scale revenue proxy,0.02890519605908226,0.3652551022069483,,,0.0002612669048480537,0.42825695404128816,0.019488236666351133,0.029444217165899053,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.22574036679656884,False,0000018255,Apparel & Personal Care,CATO CORP,5621,Small-scale revenue proxy
0000935703,Apparel & Personal Care,"DOLLAR TREE, INC.",5331,Large-scale revenue proxy,0.4039944972669286,0.05640653864762046,,,0.0017919108066182313,0.49857848395474,0.6597521897976928,0.008780427616420713,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.32602475045564455,False,0000027419,Apparel & Personal Care,TARGET CORP,5331,Large-scale revenue proxy
0001319947,Apparel & Personal Care,Designer Brands Inc.,5661,Mid-scale revenue proxy,0.17073849431458396,0.21642951710055208,,,,0.35383526394040193,0.3290456546549732,0.050202360744301594,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.279386259607052,False,0000028917,Apparel & Personal Care,"DILLARD'S, INC.",5311,Mid-scale revenue proxy
0000723254,Apparel & Personal Care,CINTAS CORP,2320,Mid-scale revenue proxy,0.5794913946258694,,,,0.013107251142000523,0.21295861237079997,0.7681270073663136,0.024195703058730242,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.5227473937049796,False,0000029534,Apparel & Personal Care,DOLLAR GENERAL CORP,5331,Large-scale revenue proxy
0000745732,Apparel & Personal Care,"ROSS STORES, INC.",5651,Large-scale revenue proxy,0.1967021532791663,0.5170919868816687,,,,0.31216980836594577,0.011699354231655357,0.034136620024577985,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.30002124584549555,False,0000039911,Apparel & Personal Care,GAP INC,5651,Large-scale revenue proxy
0001318605,Automotive,"Tesla, Inc.",3711,Large-scale revenue proxy,,,,,,,,,REVIEW,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,3.4,False,0000041091,,GEORGIA POWER CO,4911,
0001521332,Automotive,Aptiv PLC,3714,Large-scale revenue proxy,0.12628540574868596,0.15497965243278522,0.08032406463600114,,,0.03897968607163804,0.01470465134496779,0.07611146839824123,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.1302007241916893,False,0000042582,Automotive,GOODYEAR TIRE & RUBBER CO /OH/,3011,Large-scale revenue proxy
0001137789,Electronics & Technology,Seagate Technology Holdings plc,3572,Large-scale revenue proxy,0.6852976463548011,0.5575936042883991,,,0.010552197392560567,0.16218544213786423,0.9553791440899417,0.05535293870590252,HIGH,1,Nearest available control using pre-2020 standardized financial distance plus industry penalties.,0.7560587716033296,False,0000047217,Electronics & Technology,HP INC,3570,Large-scale revenue proxy
