average_gross_margin,average_operating_margin,average_revenue,average_revenue_growth_yoy,firm_count,fiscal_quarter,fiscal_year,sample_group
0.35198239496176265,0.05206779545180029,2740090276.24,,81,Q1,2015,control
0.3605866920434606,0.08660557824217485,2792920186.282353,,92,Q2,2015,control
0.3631966672651805,0.03410642602154096,2491637468.792079,,107,Q3,2015,control
0.36831234555575215,0.05551185635885793,2694962044.8404255,0.1651724691813192,110,Q4,2015,control
0.3810652985474071,0.07998035517534911,2477777400.6380954,0.0700473204475062,111,Q1,2016,control
0.380588724555095,0.09117395132704224,2604851050.792453,0.07822474435031383,112,Q2,2016,control
0.36769685515483175,0.08097510994721613,2550554530.828829,0.06782269967478198,116,Q3,2016,control
0.37972186741509895,0.08263607612225088,2420196710.171717,0.07116769383540439,116,Q4,2016,control
0.3669521155919004,-0.16216174253632143,2548215179.3130436,0.06695339609676182,121,Q1,2017,control
0.3399527787195403,0.053538832980147825,2568143445.5086207,0.06723678103184816,122,Q2,2017,control
0.35207001518120296,-0.0790829335944862,2572098025.145299,0.06816708597887333,123,Q3,2017,control
0.3518330981910884,0.07766161520989553,2455599492.5233645,0.09400102430619249,122,Q4,2017,control
0.3679267739676343,0.06950905959039824,2652891771.675214,0.16534544017666272,122,Q1,2018,control
0.34338617085092565,-0.04210499966072139,2793552575.556522,0.16601085272416233,121,Q2,2018,control
0.3734260856577763,-0.45635214498333576,2746888000.9669423,0.42942411718089796,124,Q3,2018,control
0.3689455900617931,0.05523233672196676,3590761994.1311474,0.22765659965446186,124,Q4,2018,control
0.3713270675603441,-1.3427388331056973,2701837515.4881887,0.06387079814547843,127,Q1,2019,control
0.3723657535957482,-0.11157325684846418,2819325412.125984,0.9353406316062732,127,Q2,2019,control
0.38173832633066945,-0.2403583155970995,2853061995.3700786,0.08191474955937034,127,Q3,2019,control
0.3802797202105029,-3.6051609272905045,2415964387.2222223,-0.07255050493574715,126,Q4,2019,control
0.42045827858432966,0.06457322094884911,3662446400.0,,65,Q1,2015,treated
0.41868133001750374,0.0761850040064136,4886253492.753623,,69,Q2,2015,treated
0.44227488779989654,0.09988783537597863,4857277640.0,,75,Q3,2015,treated
0.4302312117371205,0.07109208365383297,6807055179.48718,0.01841441766862601,88,Q4,2015,treated
0.4294129635541869,0.058648833241545316,6024520107.142858,0.041188640659327126,84,Q1,2016,treated
0.4338264077698448,0.06470321510732571,5951843682.3529415,0.047542289584171296,85,Q2,2016,treated
0.4373854590604601,0.07748343569061261,5790086776.470589,0.05093901563854394,85,Q3,2016,treated
0.43464419494454964,0.07502071738750914,6712998975.609756,0.03744306391976995,90,Q4,2016,treated
0.43238795534102237,0.04398303245336492,6113257546.511628,0.043807447942677075,87,Q1,2017,treated
0.43976544414584223,0.07409142712038978,6140141639.5348835,0.04879987246452909,87,Q2,2017,treated
0.44276365458219646,0.09279650233770727,5985114080.45977,0.052661090019204104,89,Q3,2017,treated
0.43559397472612094,0.08546979684523652,7198138385.542169,0.06711537441755508,93,Q4,2017,treated
0.43289773604634385,0.051519586946551496,6517529310.344828,0.08178956545246306,89,Q1,2018,treated
0.4220256755573093,0.11640923956094278,6708954564.705882,0.09086662946715662,89,Q2,2018,treated
0.43060526931087023,0.07663656204461153,6450998727.272727,0.07338269275073765,92,Q3,2018,treated
0.40778725876187844,0.06944149050418387,6170739173.913043,0.030905384197962103,96,Q4,2018,treated
0.4170080168880283,0.05842761339045199,6864524193.181818,0.06883309598975872,92,Q1,2019,treated
0.42384591897749874,0.07148448104541916,6759686477.911111,0.06331209088025179,95,Q2,2019,treated
0.4305882905736376,0.0661970497174929,6566615031.836957,0.04683401782641024,95,Q3,2019,treated
0.4220981320839209,0.0702761403636845,7264541869.565217,0.12736763041938826,101,Q4,2019,treated
